pathway	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
PWY-6396	7.2150920831652865	46.355958538322604	25.02131103330826	29.49179117785884	11.360544202489907	0.0	0.0	0.0	251.03342346699625	657.9559829861893	369.2608639141818	453.05458190787664	486.39373778467046	211.3919773321066	361.83203645152713	217.66520039318377	0.0	97.50641688481356	148.58169447012293	157.34975150505036	232.77406406630436	7.293206086615206	1228.4871582483902	974.7180218786963	1991.8997672190887	553.6701240278067	340.9273758057796	173.7292191546935	363.96278487929675	239.5859287113009	141.76401770141487	355.81487237427655	384.63971576798383	346.7272773110399
PWY-6397	0.0	1.8666016621276937	0.0	0.0	0.0	0.0	0.0	0.0	1089.8374416414188	1029.308832575533	101.4291888192665	176.300923350392	35.87018091190982	161.8753274944474	270.0675281233838	224.6498113411046	0.0	398.3212950150621	266.21927553134606	56.27272983038151	55.336900229952334	0.0	886.0984513652153	920.5741279675119	1001.186443946537	0.0	0.0	0.0	0.8987765680329004	0.0	0.0	0.0	0.0	0.0
PWY-6404	0.0	6.984789409146289	0.0	0.0	0.0	0.0	0.0	0.0	1756.7182615571985	1960.3193639875087	348.11492974222375	530.3844335495405	135.16957236460388	413.6923253559752	694.9186627236198	657.2902865238597	0.0	579.9818796280381	470.11032403954096	179.06531887986318	172.75588374537222	0.0	2291.5270109047706	2444.8035850177657	2573.7878947502195	0.0	0.0	0.0	3.583141499154693	0.0	0.0	0.0	0.0	0.0
PWY-6421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	824.041065025131	954.9900944141796	113.92405661783252	174.94068780642158	52.51837633376616	161.03864194526184	238.35380863188036	170.89527138518534	0.0	274.17407238783557	245.99695255983383	57.782150893220035	66.07021112379604	0.0	835.6857013551538	733.9284388813741	1063.2352997184337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6435	15.49155544364715	21.733032730078087	1.4968357358238176	2.7469921805356763	2.7506543708713354	0.0	57.01297683251045	49.875	1135.3457003000692	797.2405192595015	2494.7769085688515	1096.824398761221	157.05589781269427	290.57155941163563	712.2190337379448	265.1009258236064	8.423114810960804	383.30979563128966	176.61676509116816	591.5011805759466	559.9226805835419	5.551278825995807	2174.388888898276	2995.2430394282896	2210.858020220632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6467	2377.19	2233.56	2668.7899999999995	2236.24	1735.01	2161.23	1568.5700000000002	1929.91	681.51	628.5999999999999	2102.98	1483.4499999999998	1998.1600000000003	235.28	568.83	1374.8200000000002	240.19	205.42	94.54999999999998	502.82000000000005	479.98999999999995	379.0	1850.6800000000003	3442.32	2027.8900000000003	809.8	683.28	644.3199999999999	685.89	845.7699999999999	771.98	2342.2	2247.12	2857.17
PWY-6470	1030.1780311621922	2534.1045590708645	3296.5005233585703	2607.76751917176	2763.080722481557	1111.3953790245987	923.3971860963214	806.2647964264303	1659.2778413607614	2936.8706688356388	919.6475100613093	1143.1308154406997	2345.8900577928293	906.0942669316381	1587.0030092699778	2019.2415097204212	71.85466384495038	361.5472973879501	715.3482807616243	399.9960303560758	304.13084540800384	497.68190396270666	5517.570786670222	6173.850161180603	4733.960698842863	1438.3995478080774	1100.4268916108076	820.9487978240911	1251.9636696149994	1009.6392356442658	804.8849584328108	1863.6867703420317	2512.8961966471165	2533.804234355129
PWY-6471	0.0	0.0	133.00450005968878	34.99906094945592	97.7985927256712	50.228859525890456	0.0	241.77059192905858	433.0382078503281	1040.8409800206493	220.86950564315217	374.55774734199684	115.84182104551472	480.22829706613135	615.6931583749794	493.03019962301397	29.05777704988168	51.0251041677043	306.5850878068793	17.053891196749273	86.24301416627874	29.73892034968671	2118.914112952572	699.3060091748513	3110.3476839878053	169.56394560665402	0.0	113.57656634960567	127.45420939519391	80.67830706163755	12.889436070508138	643.5047984926254	298.1576401350511	30.172556049780862
PWY-6478	403.7789823588704	535.0136645821784	393.1909702654728	345.3781764782241	350.5125528801418	761.2614697812609	519.0704650153878	680.7838173072155	46.35639782407531	39.33156716666295	366.08063763150903	211.78501824659145	260.059909132626	13.255761147289833	77.82713435939974	236.45072245860166	90.38328204542138	24.442475283778833	1.7031149713487925	50.415446426558916	39.22242542518522	86.84116294695191	151.2707345813949	345.7621479362336	211.29815025165334	45.724325019975126	23.264691919188284	33.85172047440724	55.32901949205662	27.499650238473773	39.95278867886209	278.06585915915565	146.98059122345904	108.521985570451
PWY-6486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.44769515305804	0.0	102.19220420861171	77.42776307175727	0.0	21.90890146354398	76.60633917625071	0.0	0.0	25.66327205396112	0.0	42.73853607759825	48.83640177836148	0.0	154.53092245232483	237.37841583844005	322.3504890713965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.59326780387983	157.76374614966556	2098.534324697059	380.2323821269517	3.9156675530931078	99.13444101455397	436.20424445562867	0.0	0.0	30.965888689407542	22.93120197129927	478.8393702289838	249.0549867903191	0.0	1117.3407807542778	198.51768965163163	831.8366151054236	63.637005199046534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.41823266640926	18.134423777384434	0.0	76.66329362781224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.954235687790113	0.0	62.7487094661754	0.0	184.73957472728958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6527	4353.733548163481	2862.8609980892784	4309.68079085926	3218.3828240760035	3919.526425067619	4916.547779857161	3955.25319497985	1557.170889414801	1265.651150243297	2484.4556316314583	952.2399901494272	970.820897727758	1390.0053419807105	583.3521899105829	923.1996784387019	1473.7442475899134	189.9896184127989	417.19935383812293	521.2108474432489	335.93312616535826	253.53758935893973	574.6751299437911	3373.6584512782424	3973.853340120389	3099.3020847528296	899.1481255001726	639.539425506448	615.8979667337471	803.2365963984868	722.9922228681346	476.35878353099366	1221.0518096778692	1717.6101329254655	2178.1903664368383
PWY-6531	876.9929917297216	1127.4256567916623	924.9102639596865	533.7909326520114	362.0288270543128	954.334569316019	758.6279192202483	1358.9934877436458	116.14346616524739	201.122925954715	603.020178210679	443.8191307894864	2.151331561566858	168.3566420361701	264.13619201855187	52.20437384699989	168.801352288513	44.801321738762844	35.2913766374113	145.0402415017273	188.0217981780786	199.11715144234262	1080.0295077606584	146.91629330516335	1300.12562305738	0.0	4.79508091720398	0.0	0.0	2.5586723498047097	0.0	8.103134464193065	4.064895926703143	52.40657976738387
PWY-6562	18.569864979788502	25.28063264198807	50.8668002566771	0.0	47.45386642462717	83.76531873621674	0.0	20.63595389836745	364.6336618880437	284.8969157732784	1786.9087190629757	549.1992479238289	40.44592025411223	107.11210693356072	474.05194152941914	26.309804024353543	0.0	87.17281715972932	56.32935504048813	449.5054668822664	228.3287093748516	0.0	1162.0271624826069	234.61815996511072	1005.2393398006528	344.6219756237842	0.0	0.0	0.0	15.719483106367392	0.0	0.0	0.0	0.0
PWY-6565	0.0	0.0	0.0	0.0	47.49623320066198	83.89354216540748	0.0	0.0	94.71470087368887	145.45872873776585	2021.638937746107	418.99891000799727	0.0	54.79964305402201	508.0916734132538	26.35694917113395	0.0	47.239938883447564	31.1170728191315	499.8283605322675	259.8297702519948	0.0	1236.1434389411459	186.42283183984955	390.4170487622933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	203.66486930814472	28.218386362530538	46.66468893925021	19.679962161845445	9.88726995620817	17.816288784438406	16.107784323933316	3.829468954390454	0.0	76.30714296021354	3.710520477211764	0.0	0.0	0.0	65.6797028861454	101.27750566854874	271.8059337101279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
